,Códigos dos Municípios,Nome dos Municípios,Anos,Porcentagem de Docentes com Formação Adequada no Fundamental,Porcentagem de Alunos do Ensino Fundamental em Escolas com Laboratório de Informática,Porcentagem de Alunos do Ensino Fundamental em Escolas com Acesso à Internet
352,2603009,Cabrobó (PE),2018,NA,NA,NA
353,2603108,Cachoeirinha (PE),2008,NA,NA,NA
354,2603108,Cachoeirinha (PE),2009,NA,NA,NA
355,2603108,Cachoeirinha (PE),2010,NA,NA,NA
356,2603108,Cachoeirinha (PE),2011,NA,NA,NA
357,2603108,Cachoeirinha (PE),2012,NA,NA,NA
358,2603108,Cachoeirinha (PE),2013,33.1,32.49,89.07
359,2603108,Cachoeirinha (PE),2014,35,43.74,75.63
360,2603108,Cachoeirinha (PE),2015,42.4,45.04,78.2
361,2603108,Cachoeirinha (PE),2016,49.1,43.08,87.15
362,2603108,Cachoeirinha (PE),2017,48.9,52.36,92.89
363,2603108,Cachoeirinha (PE),2018,NA,NA,NA
364,2603207,Caetés (PE),2008,NA,NA,NA
365,2603207,Caetés (PE),2009,NA,NA,NA
366,2603207,Caetés (PE),2010,NA,NA,NA
367,2603207,Caetés (PE),2011,NA,NA,NA
368,2603207,Caetés (PE),2012,NA,NA,NA
369,2603207,Caetés (PE),2013,26.8,81.45,74.56
370,2603207,Caetés (PE),2014,26.5,81.76,73.34
371,2603207,Caetés (PE),2015,23.7,78.24,64.65
372,2603207,Caetés (PE),2016,21.7,76.79,62.49
373,2603207,Caetés (PE),2017,19,72.82,74.81
374,2603207,Caetés (PE),2018,NA,NA,NA
375,2603306,Calçado (PE),2008,NA,NA,NA
376,2603306,Calçado (PE),2009,NA,NA,NA
377,2603306,Calçado (PE),2010,NA,NA,NA
378,2603306,Calçado (PE),2011,NA,NA,NA
379,2603306,Calçado (PE),2012,NA,NA,NA
380,2603306,Calçado (PE),2013,47.5,13.21,43.39
381,2603306,Calçado (PE),2014,65.2,8.95,79.81
382,2603306,Calçado (PE),2015,48.3,4.47,80.62
383,2603306,Calçado (PE),2016,39.3,0,79.81
384,2603306,Calçado (PE),2017,39.1,0,86.14
385,2603306,Calçado (PE),2018,NA,NA,NA
386,2603405,Calumbi (PE),2008,NA,NA,NA
387,2603405,Calumbi (PE),2009,NA,NA,NA
388,2603405,Calumbi (PE),2010,NA,NA,NA
389,2603405,Calumbi (PE),2011,NA,NA,NA
390,2603405,Calumbi (PE),2012,NA,NA,NA
391,2603405,Calumbi (PE),2013,24.4,24.08,67.32
392,2603405,Calumbi (PE),2014,17.7,16.98,66.81
393,2603405,Calumbi (PE),2015,17.2,12.5,59.51
394,2603405,Calumbi (PE),2016,27.6,6.59,61.63
395,2603405,Calumbi (PE),2017,20.5,0,62.14
396,2603405,Calumbi (PE),2018,NA,NA,NA
397,2603454,Camaragibe (PE),2008,NA,NA,NA
398,2603454,Camaragibe (PE),2009,NA,NA,NA
399,2603454,Camaragibe (PE),2010,NA,NA,NA
400,2603454,Camaragibe (PE),2011,NA,NA,NA
401,2603454,Camaragibe (PE),2012,NA,NA,NA
402,2603454,Camaragibe (PE),2013,70.1,59.48,83.15
403,2603454,Camaragibe (PE),2014,67.3,58.34,87.23
404,2603454,Camaragibe (PE),2015,67.3,56.22,88.44
405,2603454,Camaragibe (PE),2016,65.5,55.03,89.18
406,2603454,Camaragibe (PE),2017,65.1,58.9,98.08
407,2603454,Camaragibe (PE),2018,NA,NA,NA
408,2603504,Camocim de São Félix (PE),2008,NA,NA,NA
409,2603504,Camocim de São Félix (PE),2009,NA,NA,NA
410,2603504,Camocim de São Félix (PE),2010,NA,NA,NA
411,2603504,Camocim de São Félix (PE),2011,NA,NA,NA
412,2603504,Camocim de São Félix (PE),2012,NA,NA,NA
413,2603504,Camocim de São Félix (PE),2013,56.1,52.26,84.16
414,2603504,Camocim de São Félix (PE),2014,55.4,43.79,86.89
415,2603504,Camocim de São Félix (PE),2015,53,49.65,91.73
416,2603504,Camocim de São Félix (PE),2016,55.8,50.07,91.95
417,2603504,Camocim de São Félix (PE),2017,50.8,17.46,83.98
418,2603504,Camocim de São Félix (PE),2018,NA,NA,NA
419,2603603,Camutanga (PE),2008,NA,NA,NA
420,2603603,Camutanga (PE),2009,NA,NA,NA
421,2603603,Camutanga (PE),2010,NA,NA,NA
422,2603603,Camutanga (PE),2011,NA,NA,NA
423,2603603,Camutanga (PE),2012,NA,NA,NA
424,2603603,Camutanga (PE),2013,40.4,63.73,90.83
425,2603603,Camutanga (PE),2014,61.8,72.59,93.54
426,2603603,Camutanga (PE),2015,59.5,73.24,93.86
427,2603603,Camutanga (PE),2016,57.2,70.51,85.16
428,2603603,Camutanga (PE),2017,47.6,69.34,84.11
429,2603603,Camutanga (PE),2018,NA,NA,NA
430,2603702,Canhotinho (PE),2008,NA,NA,NA
431,2603702,Canhotinho (PE),2009,NA,NA,NA
432,2603702,Canhotinho (PE),2010,NA,NA,NA
433,2603702,Canhotinho (PE),2011,NA,NA,NA
434,2603702,Canhotinho (PE),2012,NA,NA,NA
435,2603702,Canhotinho (PE),2013,53.4,29.77,56.29
436,2603702,Canhotinho (PE),2014,52.7,41.8,70.73
437,2603702,Canhotinho (PE),2015,46.6,27.8,76.72
438,2603702,Canhotinho (PE),2016,49.5,4.46,71.58
439,2603702,Canhotinho (PE),2017,47.3,2.85,69.7
440,2603702,Canhotinho (PE),2018,NA,NA,NA
441,2603801,Capoeiras (PE),2008,NA,NA,NA
442,2603801,Capoeiras (PE),2009,NA,NA,NA
443,2603801,Capoeiras (PE),2010,NA,NA,NA
444,2603801,Capoeiras (PE),2011,NA,NA,NA
445,2603801,Capoeiras (PE),2012,NA,NA,NA
446,2603801,Capoeiras (PE),2013,25.3,56.72,59.01
447,2603801,Capoeiras (PE),2014,25.9,54.41,56.99
448,2603801,Capoeiras (PE),2015,23.9,54.21,52.88
449,2603801,Capoeiras (PE),2016,32.6,48.85,62.6
450,2603801,Capoeiras (PE),2017,29.2,45.87,81.71
451,2603801,Capoeiras (PE),2018,NA,NA,NA
452,2603900,Carnaíba (PE),2008,NA,NA,NA
453,2603900,Carnaíba (PE),2009,NA,NA,NA
454,2603900,Carnaíba (PE),2010,NA,NA,NA
