,codigo_do_municipio,ano,proficiencia_media_matematica
936,2607752,2010,170.13333333333333
937,2607752,2011,177.8625
938,2607752,2012,180.3125
939,2607752,2013,180.3375
940,2607752,2014,185.0625
941,2607752,2015,177.4625
942,2607752,2016,182.3125
943,2607752,2017,186.525
944,2607752,2018,192.22857142857143
945,2607802,2008,151.89090909090908
946,2607802,2009,147.35454545454547
947,2607802,2010,166.7625
948,2607802,2011,170.1
949,2607802,2012,178.5
950,2607802,2013,161.82
951,2607802,2014,164.0
952,2607802,2015,162.14285714285714
953,2607802,2016,160.98888888888888
954,2607802,2017,161.13333333333333
955,2607802,2018,166.28
956,2607901,2008,168.72
957,2607901,2009,174.9596899224806
958,2607901,2010,175.95163934426228
959,2607901,2011,185.01869918699185
960,2607901,2012,183.96271186440677
961,2607901,2013,185.61160714285714
962,2607901,2014,180.1644859813084
963,2607901,2015,191.17596153846154
964,2607901,2016,185.9114285714286
965,2607901,2017,198.41078431372551
966,2607901,2018,197.673786407767
967,2607950,2008,174.44285714285712
968,2607950,2009,178.02142857142857
969,2607950,2010,164.60000000000002
970,2607950,2011,199.72307692307692
971,2607950,2012,200.85333333333335
972,2607950,2013,186.8
973,2607950,2014,207.41
974,2607950,2015,209.5666666666667
975,2607950,2016,191.75454545454548
976,2607950,2017,207.56666666666666
977,2607950,2018,208.7
978,2608008,2008,164.21428571428572
979,2608008,2009,169.41
980,2608008,2010,163.63529411764708
981,2608008,2011,184.13636363636363
982,2608008,2012,190.52272727272728
983,2608008,2013,179.73181818181817
984,2608008,2014,174.44545454545457
985,2608008,2015,176.35
986,2608008,2016,173.55555555555554
987,2608008,2017,191.65333333333334
988,2608008,2018,193.5666666666667
989,2608057,2008,157.6769230769231
990,2608057,2009,169.9090909090909
991,2608057,2010,162.34166666666667
992,2608057,2011,182.1
993,2608057,2012,177.4846153846154
994,2608057,2013,170.13636363636363
995,2608057,2014,181.23
996,2608057,2015,189.7125
997,2608057,2016,187.1625
998,2608057,2017,206.1
999,2608057,2018,219.45
1000,2608107,2008,155.1848484848485
1001,2608107,2009,166.759375
1002,2608107,2010,149.71363636363637
1003,2608107,2011,174.484
1004,2608107,2012,177.13636363636363
1005,2608107,2013,180.32083333333333
1006,2608107,2014,182.25833333333333
1007,2608107,2015,182.7473684210526
1008,2608107,2016,183.2238095238095
1009,2608107,2017,195.76875
1010,2608107,2018,219.01999999999998
1011,2608206,2008,158.45833333333334
1012,2608206,2009,173.6058823529412
1013,2608206,2010,177.87857142857143
1014,2608206,2011,190.08888888888887
1015,2608206,2012,205.775
1016,2608206,2013,200.91333333333333
1017,2608206,2014,202.07999999999998
1018,2608206,2015,198.32999999999998
1019,2608206,2016,192.33333333333334
1020,2608206,2017,189.5818181818182
1021,2608206,2018,198.53333333333333
1022,2608255,2008,168.02
1023,2608255,2009,194.75
1024,2608255,2010,178.92000000000002
1025,2608255,2011,224.3777777777778
1026,2608255,2012,216.25714285714284
1027,2608255,2013,220.71999999999997
1028,2608255,2014,230.25
1029,2608255,2015,262.5857142857143
1030,2608255,2016,261.68
1031,2608255,2017,240.13333333333333
1032,2608255,2018,250.325
1033,2608305,2008,171.23999999999998
1034,2608305,2009,174.55333333333334
1035,2608305,2010,185.3857142857143
1036,2608305,2011,212.3
1037,2608305,2012,222.9125
1038,2608305,2013,252.4
1039,2608305,2014,252.81111111111113
1040,2608305,2015,259.78000000000003
1041,2608305,2016,235.5222222222222
1042,2608305,2017,228.32857142857142
1043,2608305,2018,260.18
1044,2608404,2008,156.9
1045,2608404,2009,169.37857142857143
1046,2608404,2010,172.79999999999998
1047,2608404,2011,187.07
1048,2608404,2012,180.03
1049,2608404,2013,182.24
1050,2608404,2014,186.9
1051,2608404,2015,177.46666666666667
1052,2608404,2016,191.3875
1053,2608404,2017,201.52
1054,2608404,2018,204.41666666666666
1055,2608453,2008,164.61111111111111
1056,2608453,2009,175.57
1057,2608453,2010,156.5111111111111
1058,2608453,2011,173.60000000000002
1059,2608453,2012,173.35999999999999
1060,2608453,2013,177.06666666666666
1061,2608453,2014,193.8857142857143
1062,2608453,2015,201.9888888888889
1063,2608453,2016,186.3125
1064,2608453,2017,181.01666666666665
1065,2608453,2018,189.325
1066,2608503,2008,163.47272727272727
1067,2608503,2009,169.76666666666668
1068,2608503,2010,166.82
1069,2608503,2011,183.20999999999998
1070,2608503,2012,196.59
1071,2608503,2013,192.3166666666667
1072,2608503,2014,184.6
1073,2608503,2015,195.56
1074,2608503,2016,203.98
1075,2608503,2017,196.82
1076,2608503,2018,205.85
1077,2608602,2008,160.1529411764706
1078,2608602,2009,173.93571428571428
1079,2608602,2010,172.7133333333333
1080,2608602,2011,190.14736842105265
1081,2608602,2012,184.4333333333333
1082,2608602,2013,194.04615384615383
1083,2608602,2014,186.69375
1084,2608602,2015,191.32666666666668
1085,2608602,2016,192.91666666666666
1086,2608602,2017,198.38
1087,2608602,2018,198.33333333333334
1088,2608701,2008,169.71785714285716
1089,2608701,2009,177.17916666666667
1090,2608701,2010,186.80740740740742
1091,2608701,2011,200.78636363636363
1092,2608701,2012,196.74285714285716
1093,2608701,2013,201.29999999999998
1094,2608701,2014,203.02941176470588
1095,2608701,2015,209.07
1096,2608701,2016,200.19230769230768
1097,2608701,2017,190.81176470588235
1098,2608701,2018,202.29999999999998
1099,2608750,2008,150.73333333333335
1100,2608750,2009,163.53684210526316
1101,2608750,2010,158.03529411764706
1102,2608750,2011,177.23157894736843
1103,2608750,2012,185.23
1104,2608750,2013,178.25
1105,2608750,2014,170.16875
1106,2608750,2015,194.40666666666667
1107,2608750,2016,195.9611111111111
1108,2608750,2017,192.63333333333333
1109,2608750,2018,194.26666666666665
1110,2608800,2008,182.72608695652173
1111,2608800,2009,178.18
1112,2608800,2010,174.74375
1113,2608800,2011,207.71200000000002
1114,2608800,2012,198.20909090909092
1115,2608800,2013,180.55882352941177
1116,2608800,2014,187.22352941176473
1117,2608800,2015,195.20499999999998
1118,2608800,2016,196.07142857142858
1119,2608800,2017,196.61666666666667
1120,2608800,2018,201.14615384615385
1121,2608909,2008,162.8945945945946
1122,2608909,2009,164.9857142857143
1123,2608909,2010,170.24375
1124,2608909,2011,182.31071428571428
1125,2608909,2012,185.07083333333333
1126,2608909,2013,187.4842105263158
1127,2608909,2014,203.23333333333332
1128,2608909,2015,211.4388888888889
1129,2608909,2016,205.26470588235293
1130,2608909,2017,222.72777777777776
1131,2608909,2018,221.45333333333335
1132,2609006,2008,147.536
1133,2609006,2009,167.1695652173913
1134,2609006,2010,157.24545454545455
1135,2609006,2011,182.89444444444445
1136,2609006,2012,190.58888888888887
1137,2609006,2013,185.1058823529412
1138,2609006,2014,188.975
1139,2609006,2015,180.5090909090909
1140,2609006,2016,192.32999999999998
1141,2609006,2017,186.1307692307692
1142,2609006,2018,204.9375
1143,2609105,2008,160.07777777777778
1144,2609105,2009,171.42142857142858
1145,2609105,2010,164.83333333333334
1146,2609105,2011,183.45
1147,2609105,2012,181.35555555555555
1148,2609105,2013,163.76
1149,2609105,2014,204.1375
1150,2609105,2015,207.275
1151,2609105,2016,203.92857142857142
1152,2609105,2017,231.475
1153,2609105,2018,224.9
1154,2609154,2008,150.56666666666666
1155,2609154,2009,156.94722222222222
1156,2609154,2010,156.09130434782608
1157,2609154,2011,161.42000000000002
1158,2609154,2012,173.5952380952381
1159,2609154,2013,169.80344827586208
1160,2609154,2014,160.94583333333333
1161,2609154,2015,171.94090909090912
1162,2609154,2016,175.67142857142858
1163,2609154,2017,187.66190476190476
1164,2609154,2018,190.8
1165,2609204,2008,146.15
1166,2609204,2009,158.44545454545457
1167,2609204,2010,173.3222222222222
1168,2609204,2011,181.0
1169,2609204,2012,188.5
1170,2609204,2013,170.0111111111111
1171,2609204,2014,164.94444444444446
1172,2609204,2015,182.5
1173,2609204,2016,172.37142857142857
1174,2609204,2017,204.0142857142857
1175,2609204,2018,196.925
1176,2609303,2008,149.29473684210527
1177,2609303,2009,154.64
1178,2609303,2010,160.0952380952381
1179,2609303,2011,173.9
1180,2609303,2012,181.18666666666667
1181,2609303,2013,164.11111111111111
1182,2609303,2014,176.84615384615384
1183,2609303,2015,190.24444444444444
1184,2609303,2016,169.19285714285712
1185,2609303,2017,163.97
1186,2609303,2018,189.325
1187,2609402,2008,150.00857142857143
1188,2609402,2009,164.66206896551722
1189,2609402,2010,157.62666666666667
1190,2609402,2011,162.4375
1191,2609402,2012,163.084
1192,2609402,2013,161.244
1193,2609402,2014,164.55925925925928
1194,2609402,2015,168.38750000000002
1195,2609402,2016,162.6875
1196,2609402,2017,174.50434782608696
1197,2609402,2018,179.70714285714286
1198,2609501,2008,161.15714285714284
1199,2609501,2009,167.39285714285714
1200,2609501,2010,165.93076923076922
1201,2609501,2011,193.25
1202,2609501,2012,200.73333333333335
1203,2609501,2013,192.9
1204,2609501,2014,180.58888888888887
1205,2609501,2015,190.07999999999998
1206,2609501,2016,176.82222222222222
1207,2609501,2017,191.54444444444445
1208,2609501,2018,191.65
1209,2609600,2008,165.3265060240964
1210,2609600,2009,175.41829268292682
1211,2609600,2010,173.5628205128205
1212,2609600,2011,183.55714285714285
1213,2609600,2012,181.67397260273972
1214,2609600,2013,180.37464788732396
1215,2609600,2014,179.67887323943663
1216,2609600,2015,177.79365079365078
1217,2609600,2016,182.77833333333334
1218,2609600,2017,188.40862068965518
1219,2609600,2018,185.97678571428574
1220,2609709,2008,173.6030303030303
1221,2609709,2009,189.60625
1222,2609709,2010,171.97142857142856
1223,2609709,2011,176.49615384615385
1224,2609709,2012,189.7541666666667
1225,2609709,2013,203.39444444444445
1226,2609709,2014,224.0625
1227,2609709,2015,230.64210526315787
1228,2609709,2016,217.1809523809524
1229,2609709,2017,245.6304347826087
1230,2609709,2018,251.0375
1231,2609808,2008,138.5681818181818
1232,2609808,2009,162.35714285714286
1233,2609808,2010,158.11176470588236
1234,2609808,2011,181.67368421052632
1235,2609808,2012,187.24285714285716
1236,2609808,2013,161.18
1237,2609808,2014,180.3153846153846
1238,2609808,2015,166.46666666666667
1239,2609808,2016,159.34
1240,2609808,2017,177.18666666666667
1241,2609808,2018,177.45
1242,2609907,2008,156.1554347826087
1243,2609907,2009,165.93626373626375
1244,2609907,2010,168.5951219512195
1245,2609907,2011,179.74
1246,2609907,2012,181.52592592592592
1247,2609907,2013,164.8913043478261
1248,2609907,2014,168.0047619047619
1249,2609907,2015,172.46875
1250,2609907,2016,167.41764705882352
1251,2609907,2017,174.22500000000002
1252,2609907,2018,177.89090909090908
1253,2610004,2008,156.6340425531915
1254,2610004,2009,166.1311111111111
1255,2610004,2010,160.98372093023255
1256,2610004,2011,169.74571428571429
1257,2610004,2012,181.66285714285715
1258,2610004,2013,173.61176470588236
1259,2610004,2014,178.46842105263158
1260,2610004,2015,176.56363636363636
1261,2610004,2016,170.95151515151514
1262,2610004,2017,180.78285714285713
1263,2610004,2018,203.76363636363638
1264,2610103,2008,167.85
1265,2610103,2009,176.6
1266,2610103,2010,171.92
1267,2610103,2011,170.03333333333333
1268,2610103,2012,186.3
1269,2610103,2013,171.46666666666667
1270,2610103,2014,193.33333333333334
1271,2610103,2015,170.35
1272,2610103,2016,174.13333333333333
1273,2610103,2017,193.525
1274,2610103,2018,198.7
1275,2610202,2008,175.88372093023256
1276,2610202,2009,171.99761904761903
1277,2610202,2010,177.06
1278,2610202,2011,188.8179487179487
1279,2610202,2012,183.29000000000002
1280,2610202,2013,206.17777777777778
1281,2610202,2014,195.25714285714284
1282,2610202,2015,211.42608695652174
1283,2610202,2016,205.304
1284,2610202,2017,234.49499999999998
1285,2610202,2018,277.2375
1286,2610301,2008,168.1
1287,2610301,2009,175.67142857142858
1288,2610301,2010,176.02608695652174
1289,2610301,2011,184.13529411764708
1290,2610301,2012,200.04666666666665
1291,2610301,2013,190.24
1292,2610301,2014,195.96153846153845
1293,2610301,2015,210.44615384615386
1294,2610301,2016,206.73529411764707
1295,2610301,2017,205.19285714285712
1296,2610301,2018,207.26666666666665
1297,2610400,2008,156.9125
1298,2610400,2009,174.75185185185185
1299,2610400,2010,176.8047619047619
1300,2610400,2011,186.1222222222222
1301,2610400,2012,181.3090909090909
1302,2610400,2013,166.91111111111113
1303,2610400,2014,173.87142857142857
1304,2610400,2015,189.1090909090909
1305,2610400,2016,174.125
1306,2610400,2017,191.5421052631579
1307,2610400,2018,198.5666666666667
1308,2610509,2008,169.25384615384615
1309,2610509,2009,171.95833333333334
1310,2610509,2010,169.22727272727272
1311,2610509,2011,179.1047619047619
1312,2610509,2012,192.77499999999998
1313,2610509,2013,194.36666666666667
1314,2610509,2014,200.4625
1315,2610509,2015,204.04285714285714
1316,2610509,2016,212.34
1317,2610509,2017,204.96875
1318,2610509,2018,206.03333333333333
1319,2610608,2008,154.96296296296296
1320,2610608,2009,158.23749999999998
1321,2610608,2010,158.2423076923077
1322,2610608,2011,170.6
1323,2610608,2012,174.67619047619047
1324,2610608,2013,169.14347826086959
1325,2610608,2014,176.45
1326,2610608,2015,177.185
1327,2610608,2016,172.6904761904762
1328,2610608,2017,182.48499999999999
1329,2610608,2018,194.33333333333334
1330,2610707,2008,170.46136363636364
1331,2610707,2009,174.91162790697675
1332,2610707,2010,176.6390243902439
1333,2610707,2011,184.19268292682926
1334,2610707,2012,185.0121951219512
1335,2610707,2013,179.6452380952381
1336,2610707,2014,176.7826086956522
1337,2610707,2015,177.03181818181818
1338,2610707,2016,183.4
1339,2610707,2017,195.1142857142857
1340,2610707,2018,197.84047619047618
1341,2610806,2008,149.19
1342,2610806,2009,158.9904761904762
1343,2610806,2010,155.28
1344,2610806,2011,170.69333333333333
1345,2610806,2012,174.58666666666667
1346,2610806,2013,171.8
1347,2610806,2014,176.33846153846156
1348,2610806,2015,178.59166666666667
1349,2610806,2016,174.65
1350,2610806,2017,196.90769230769232
1351,2610806,2018,199.38571428571427
1352,2610905,2008,157.06666666666666
1353,2610905,2009,166.92142857142858
1354,2610905,2010,160.65
1355,2610905,2011,180.0078947368421
1356,2610905,2012,185.0257142857143
1357,2610905,2013,179.69259259259258
1358,2610905,2014,187.81599999999997
1359,2610905,2015,195.78695652173914
1360,2610905,2016,199.15862068965518
1361,2610905,2017,200.90952380952382
1362,2610905,2018,202.36875
1363,2611002,2008,174.53793103448277
1364,2611002,2009,176.77857142857144
1365,2611002,2010,176.71904761904761
1366,2611002,2011,188.70000000000002
1367,2611002,2012,205.52173913043478
1368,2611002,2013,198.29615384615383
1369,2611002,2014,202.85
1370,2611002,2015,199.2782608695652
1371,2611002,2016,203.416
1372,2611002,2017,197.6
1373,2611002,2018,203.86470588235292
1374,2611101,2008,173.206
1375,2611101,2009,180.81442307692308
1376,2611101,2010,188.28958333333333
1377,2611101,2011,203.86595744680852
1378,2611101,2012,200.40879120879123
1379,2611101,2013,205.31666666666666
1380,2611101,2014,211.5150684931507
1381,2611101,2015,213.92222222222222
1382,2611101,2016,207.64054054054054
1383,2611101,2017,214.10666666666665
1384,2611101,2018,216.41
1385,2611200,2008,163.95833333333334
1386,2611200,2009,189.52222222222224
1387,2611200,2010,182.34
1388,2611200,2011,202.05714285714288
1389,2611200,2012,190.3777777777778
1390,2611200,2013,201.47
1391,2611200,2014,198.375
1392,2611200,2015,211.66
1393,2611200,2016,202.9125
1394,2611200,2017,200.46666666666664
1395,2611200,2018,210.175
1396,2611309,2008,164.575
1397,2611309,2009,169.25151515151515
1398,2611309,2010,175.67878787878786
1399,2611309,2011,174.91875
1400,2611309,2012,179.73666666666668
1401,2611309,2013,179.55200000000002
1402,2611309,2014,179.91739130434783
1403,2611309,2015,181.72857142857143
1404,2611309,2016,185.7526315789474
1405,2611309,2017,183.98823529411766
1406,2611309,2018,209.51999999999998
1407,2611408,2008,153.30714285714288
1408,2611408,2009,166.35384615384615
1409,2611408,2010,167.35
1410,2611408,2011,191.39999999999998
